1,"If you have chosen the wrong route, is it allowed to turn around and drive in the opposite direction in the situation shown?"
2,Is overtaking allowed in the situation shown?
3,"In the understanding of traffic rules, the red car is approaching:"
4,Is it allowed to brake sharply in the situation shown to let the red car pass?
5,What does the road sign shown prohibit?
6,When must payment be made for parking the car in the situation shown?
7,How will you act when crossing the intersection in the situation shown?
8,Is the driver of the red car allowed to overtake in the situation shown?
9,How will you act when crossing the intersection in the situation shown?
10,In which directions are you allowed to drive in the situation shown?
11,In which directions is it allowed to drive in the situation shown?
12,How will you act when crossing the intersection in the situation shown?
13,Is it allowed for the car to stop in the situation shown?
14,How will you act in the situation shown?
15,Is it allowed to tow the combination of vehicles shown?
16,How will you act in the situation shown?
17,In which directions is the car driver allowed to drive in the situation shown?
18,Which driver has priority in the situation shown?
19,Which of the shown road signs warns about the beginning of a road section where traffic occurs in both directions?
20,What does the yellow road marking indicate?
21,Are the cars parked correctly?
22,How will you act when crossing the intersection in the situation shown?
23,Which driver has priority outside built-up areas?
24,Is the driver allowed to transport the load shown?
25,In which directions is it allowed to drive at the intersection shown?
26,Which driver has priority in the situation shown?
27,How will you act when crossing the intersection in the situation shown?
28,What does the road sign shown prohibit?
29,How will you act in the situation shown when turning left at the intersection?
30,How will you act to turn right?
31,How will you act when crossing the intersection in the situation shown?
32,How will you act when crossing the intersection in the situation shown?
33,"In the understanding of traffic rules, the vehicle is approaching:"
34,Is the driver allowed to go straight in the situation shown?
35,What is the maximum permitted driving speed when continuing the journey?
36,How will you act when crossing the intersection in the situation shown?
37,What does the road sign warn about?
38,Is overtaking allowed in the situation shown?
39,Which driver has priority in the situation shown?
40,Where is it prohibited to park the vehicle?
41,What does the wide dashed line marking mean?
42,Is the driver of the passenger car allowed to overtake in the situation shown?
43,When must the driver of the red car start braking in the situation shown?
44,How will you act when crossing the intersection in the situation shown?
45,How many traffic lanes does the shown road have?
46,What do the road signs inform about?
47,Is it allowed to overtake in the given situation?
48,In the given situation the vehicle is:
49,How will you act when crossing the intersection in the given situation?
50,How will you act when crossing the intersection in the given situation?
51,How will you act when crossing the intersection in the given situation?
52,How will you act when crossing the intersection in the given situation?
53,Is the driver of the towing vehicle allowed to continue driving straight in the given situation?
54,What does the road sign warn about?
55,Are the vehicles parked correctly?
56,How will you act when crossing the intersection in the given situation?
57,What does the traffic sign prohibit?
58,Is the red vehicle driver correctly positioned on the carriageway to make a U-turn?
59,What is the maximum speed allowed to continue driving?
60,Which of the drivers has the right-of-way?
61,Is it allowed to transport cargo (bicycle) in the given manner?
62,Which of the traffic participant(s) will you give way to in the given situation?
63,What does the given road symbol warn about?
64,How will you act when crossing the intersection in the given situation?
65,What do the arrows on the carriageway designate?
66,How will you act when crossing the intersection in the given situation?
67,How will you act when crossing the intersection in the given situation?
68,To whom will you give way when making a U-turn in the given situation?
69,Which of the drivers has the right-of-way in populated areas?
70,In which directions is the driver of the red vehicle allowed to drive outside populated areas?
71,Which of the traffic participants has the right-of-way in the given situation?
72,How should the driver of the green vehicle act if operative vehicle (column) is approaching?
73,Is the automobile driver correctly positioned on the carriageway to make a U-turn?
74,How will you act when crossing the intersection in the given situation?
75,What maximum speed is allowed driving beyond the given traffic sign in a populated area?
76,How will you act when crossing the intersection in the given situation?
77,What is the maximum speed allowed to continue driving?
78,What does the traffic sign inform about?
79,What does the traffic sign warn about?
80,Is the automobile driver allowed to bypass the truck driver in the given situation outside populated areas?
81,Which vehicles are allowed to drive in the given situation?
82,Is the red vehicle parked correctly?
83,What does the traffic sign inform about?
84,Is it allowed to overtake the truck in the given situation?
85,Where is a vehicle allowed to stop on a working day in the given situation?
86,Which of the vehicles has the right-of-way in the given situation?
87,How will you act when crossing the intersection in the given situation?
88,Which of the drivers has the right-of-way?
89,Is it allowed to overtake in the given situation?
90,How will you act when crossing the intersection in the given situation?
91,What does the traffic sign forbid?
92,Is the white vehicle positioned correctly to drive straight for a long time?
93,How will you act when crossing the intersection in the given situation?
94,How will you act when crossing the intersection in the given situation?
95,What must be done when an emergency vehicle is approaching?
96,Is the vehicle driver allowed to drive into the lane above which there is traffic light with an extended signal for traffic regulating purposes in the lane?
97,Which of the drivers is correctly positioned on the carriageway to make a maneuver?
98,What is the maximum speed allowed to continue driving?
99,What does the road sign warn about?
100,In which directions is it allowed to drive in the given situation?
